,JobCategory_ID,Job_Title,Company,City,TechHub_ID
0,0,Software Engineering Manager,Farmer's Fridge,Chicago,2
1,0,Salesforce – CPQ Solution Architect,Slalom,Chicago,2
2,0,Software Engineering Manager,OppLoans,Chicago,2
3,0,Senior .Net Software Engineer – Fullstack,DocuSign,Chicago,2
4,0,Windows Engineer,Optiver,Chicago,2
5,0,Senior Engineering Manager,CircleCI,Greater Boston Area,1
6,0,Software Architect,CrunchTime!,Greater Boston Area,1
7,0,Lead Data Scientist,Vistaprint,Waltham,1
8,0,DevOps Engineer,Arcadia,Greater Boston Area,1
9,0,Senior Software Engineer - IoT,Markforged,Watertown,1
10,0,Lead Salesforce Engineer,ThousandEyes,Austin,0
11,0,Software Test Engineer ,Compeat,Austin,0
12,0,Principal Database Reliability Engineer,Cognite,Austin,0
13,0,"Senior Full Stack Engineer, Profile & Authenti…",Evernote,Austin,0
14,0,Big Data Engineer,Cloudflare,Austin,0
15,0,Sensor Integration Engineer -- Autonomous Vehicles,Outrider,Greater Denver Area,3
16,0,Electrical/Systems Engineer,AMP Robotics,Greater Boulder Area,3
17,0,Salesforce Development & Release Supervisor,Pinnacol Assurance,Greater Denver Area,3
18,0,Lead Architect,Procare Solutions,Greater Denver Area,3
19,0,Senior Software Engineer - E-Commerce,Gloo,Greater Boulder Area,3
20,0,API Backend Engineer (NYC or Remote),MANTL,Greater NYC Area,5
21,0,Engineering Lead (New York),Tempus,Greater NYC Area,5
22,0,Cross-Platform Mobile Engineer,Nowsta,Greater NYC Area,5
23,0,"Senior Backend Engineer, Trello",Atlassian,Greater NYC Area,5
24,0,Senior Full Stack Engineer - Trello,Atlassian,Greater NYC Area,5
25,0,Software Engineer (Frontend),Second Measure,Peninsula,6
26,0,Lead Full Stack Engineer,Cisco Meraki,San Francisco,6
27,0,"Engineering Manager, Compute",DoorDash,San Francisco,6
28,0,Senior Full Stack Engineer,Cisco Meraki,San Francisco,6
29,0,Senior Backend Engineer,Cisco Meraki,San Francisco,6
30,0,Software Engineer - Full Stack (Anti-Abuse),Discord,San Francisco,6
31,0,Lead Full Stack Engineer,Cisco Meraki,San Francisco,6
32,0,Senior Software Engineer - Growth,Discord,San Francisco,6
33,0,Software Engineer (Frontend),Second Measure,Peninsula,6
34,0,Senior Full Stack Engineer,Cisco Meraki,San Francisco,6
35,0,Senior Software Engineer - iOS,Discord,San Francisco,6
36,0,Senior Software Engineer - Infrastructure (Anti-Abuse),Discord,San Francisco,6
37,0,Senior Software Engineer - Infrastructure,Discord,San Francisco,6
38,0,Software Engineer (Frontend),Second Measure,Peninsula,6
39,0,Lead Full Stack Engineer,Cisco Meraki,San Francisco,6
40,0,Lead Full Stack Engineer,Cisco Meraki,San Francisco,6
41,0,Site Reliability Engineer,Discord,San Francisco,6
42,0,Senior Software Engineer - Infrastructure,Discord,San Francisco,6
43,0,Software Engineer (Frontend),Second Measure,Peninsula,6
44,0,Senior Full Stack Engineer,Cisco Meraki,San Francisco,6
45,0,Software Engineer (Frontend),Second Measure,Peninsula,6
46,0,Software Engineer - Full Stack (Anti-Abuse),Discord,San Francisco,6
47,0,Site Reliability Engineer,Discord,San Francisco,6
48,0,Lead Full Stack Engineer,Cisco Meraki,San Francisco,6
49,0,Senior Full Stack Engineer,Cisco Meraki,San Francisco,6
50,0,Lead Embedded Software Test Engineer,Pivotal Commware,Kirkland,7
51,0,Full Stack Software Engineer,Tango Card,Seattle,7
52,0,Senior Software Engineer,Tango Card,Seattle,7
53,0,CONVERSATIONAL BOT BUILDER,LivePerson,Seattle,7
54,0,Senior Software Engineer,Luum,Seattle,7
55,1,UI Designer,Codal,Chicago,2
56,1,Technical Software Designer - Chicago,NextCapital,Chicago,2
57,1,Sr. UX Researcher,Clearcover,Chicago,2
58,1,Senior Product Designer- Remote,Cameo,Remote,2
59,1,Senior Product Designer,LogicGate,Chicago,2
60,1,Senior Visual Designer,Embark Veterinary,Greater Boston Area,1
61,1,Senior User Experience Designer: Healthcare,Nuance,Greater Boston Area,1
62,1,Senior Product Designer,Wellframe,Greater Boston Area,1
63,1,"Manager, User Experience",Acquia,Greater Boston Area,1
64,1,Product Experience Designer,Markforged,Watertown,1
65,1,Senior Designer,Atlassian,Austin,0
66,1,Director of Product Design for Partners Segment,GoDaddy,Austin,0
67,1,Product Designer- Jira Align,Atlassian,Austin,0
68,1,Senior Interaction Designer,DISCO,Austin,0
69,1,Sr. UX Designer,SailPoint,Austin,0
70,1,Senior UX Designer (Contract),Pie Insurance,Greater Denver Area,3
71,1,UI Architect,LogRhythm,Greater Boulder Area,3
72,1,Senior UX Designer - Web Apps,Gloo,Greater Boulder Area,3
73,1,Interior Designer - Contract (Miami),Havenly,Remote,3
74,1,Interior Designer- Contract (NYC),Havenly,Remote,3
75,1,Brand Designer,Betterment,Greater NYC Area,5
76,1,Director of Product Design,LeafLink,Greater NYC Area,5
77,1,Product Designer,Mulberry Technology,Greater NYC Area,5
78,1,Graphic Design Lead,Wingspan,Greater NYC Area,5
79,1,Design Manager,Frame.io,Greater NYC Area,5
80,1,Lead Product Designer - Mobile,Rally Health,San Francisco,6
81,1,"Product Designer, Growth",Grammarly,San Francisco,6
82,1,Head of Dasher Experience Design,DoorDash,San Francisco,6
83,1,"Creative Strategist, Presentations (Contract)",Cisco Meraki,San Francisco,6
84,1,Instructional Designer x2,Cisco Meraki,San Francisco,6
85,1,Senior Product Designer,Postmates,San Francisco,6
86,1,Head of Dasher Experience Design,DoorDash,San Francisco,6
87,1,Principal / Sr UX Designer,Harness,San Francisco,6
